experiment,sensor,role,n_controllers_wiring,frac_controllers,mean_total_influence,se_total_influence,infl_FORWARD,infl_ROTATE_YAW,infl_ROTATE_PITCH,infl_SET_OSC,infl_SETTLE
E1,ALTEROMONAS_BIOFILM,environmental_primary,278,0.9266666666666666,1.4613981683005512,0.06678148954671538,0.27860393002383044,0.2643976540436833,0.34037460074671794,0.26242165553734154,0.3156003279489779
E1,CCA_FORWARD_BACK,environmental_primary,227,0.7566666666666667,0.9429653314487789,0.0540411333398951,0.24347735338234394,0.34437618350890686,0.07566749146167318,0.17298335612905272,0.10646094696680236
E1,CCA_LEFT_RIGHT,environmental_primary,245,0.8166666666666667,0.9048959419516766,0.06177561962105905,0.19866687724968954,0.16812822135280714,0.16740831487912478,0.2697099968983567,0.10098253157169837
E1,TEMPERATURE,environmental_weak,244,0.8133333333333334,0.8240757928233025,0.05243841914687441,0.14889881128353297,0.13959519668105064,0.14823793571063085,0.21501251069946672,0.17233133844862134
E1,CCA,environmental_primary,238,0.7933333333333333,0.748110972213802,0.04145919304070453,0.07522777332978481,0.1199247727174553,0.16533027309679513,0.14077008696113602,0.24685806610863079
E1,PRESSURE,environmental_weak,252,0.84,0.6967863472898793,0.04280898855498171,0.09350089877753995,0.18433127615424547,0.14187649040996708,0.1933348012323874,0.08374288071573942
E1,CCA_UP_DOWN,environmental_primary,216,0.72,0.6967232292489987,0.05136048902537612,0.05075794271168911,0.28227239358760986,0.0636128291711293,0.14624935538672895,0.15383070839184135
