active_neurons,eff_connections,mean_abs_weight,s2n,s2a,n2n,n2a,experiment,seed,fitness
3,14,2.212376185825893,1,8,0,5,E3,1,29163.210938
3,15,2.1994222005208335,2,9,0,4,E3,1,29039.757812
3,15,2.1994222005208335,2,9,0,4,E3,1,28916.859375
3,14,2.212376185825893,1,8,0,5,E3,1,28606.5625
3,14,2.212376185825893,1,8,0,5,E3,1,28573.617188
3,14,2.212376185825893,1,8,0,5,E3,1,28185.242188
3,16,2.10943603515625,2,8,0,6,E3,1,28063.050781
3,15,2.2660888671875,2,8,0,5,E3,1,27884.445312
3,14,2.2838047572544644,1,8,0,5,E3,1,27870.693359
3,15,2.1994222005208335,2,8,0,5,E3,1,27576.625
7,17,2.2752326516544117,3,4,5,5,E3,2,27570.275391
7,19,2.2604659231085527,4,5,5,5,E3,2,27102.417969
7,17,2.2752326516544117,3,4,5,5,E3,2,26165.392578
7,18,2.3333062065972223,4,4,5,5,E3,2,26047.449219
7,19,2.3034860711348686,5,4,5,5,E3,2,25482.753906
7,18,2.3338487413194446,4,4,5,5,E3,2,24709.966797
7,19,2.260568719161184,4,5,5,5,E3,2,24524.820312
7,18,2.3338487413194446,4,4,5,5,E3,2,24508.160156
7,19,2.3038972553453947,5,4,5,5,E3,2,24444.765625
7,18,2.3334418402777777,4,4,5,5,E3,2,24288.396484
10,25,1.6530810546875,5,7,9,4,E3,3,31459.15625
6,16,1.9092178344726562,3,6,2,5,E3,3,31126.078125
7,20,1.6597900390625,4,6,7,3,E3,3,29353.015625
3,14,1.4046805245535714,4,7,2,1,E3,3,29330.712891
2,10,1.6584716796875,2,6,0,2,E3,3,29135.917969
7,15,1.9075439453125,1,6,5,3,E3,3,29013.105469
3,15,1.5239339192708334,5,7,2,1,E3,3,28489.181641
7,18,1.8499688042534723,3,7,4,4,E3,3,28379.919922
3,11,1.5990767045454546,0,7,2,2,E3,3,28117.769531
10,25,1.6521142578125,7,6,6,6,E3,3,27774.123047
2,11,2.071433327414773,1,7,1,2,E3,4,30653.935547
5,15,1.9712076822916667,4,4,2,5,E3,4,30363.355469
6,16,1.7650222778320312,3,4,4,5,E3,4,30294.017578
4,13,2.017963115985577,3,4,1,5,E3,4,29466.585938
2,11,2.3559681285511362,1,5,1,4,E3,4,28667.363281
5,12,1.9672648111979167,2,3,1,6,E3,4,28389.011719
2,11,2.071433327414773,1,6,1,3,E3,4,28307.3125
5,13,1.8327167217548077,2,5,1,5,E3,4,27838.980469
4,13,2.017963115985577,3,4,1,5,E3,4,27743.550781
2,10,2.2567626953125,1,4,1,4,E3,4,27726.433594
5,17,1.7908791934742647,3,7,2,5,E3,5,31031.371094
4,16,1.8658294677734375,4,7,0,5,E3,5,29172.113281
4,16,1.8658294677734375,4,7,0,5,E3,5,29149.523438
5,17,1.7794261259191178,3,7,2,5,E3,5,28707.640625
7,19,1.754420230263158,5,5,3,6,E3,5,28648.425781
4,17,1.8080193014705883,6,6,0,5,E3,5,28541.726562
4,17,1.8080193014705883,6,6,0,5,E3,5,28481.480469
4,17,1.8080193014705883,6,6,0,5,E3,5,28366.132812
7,18,1.848388671875,4,6,3,5,E3,5,28344.939453
8,19,1.7477384868421053,3,7,4,5,E3,5,28182.441406
5,13,2.058293269230769,1,5,1,6,E3,6,30448.027344
6,13,2.0703876201923075,2,4,0,7,E3,6,30093.652344
5,12,1.9920247395833333,1,4,1,6,E3,6,29350.398438
6,15,2.3009684244791666,3,4,1,7,E3,6,28982.359375
6,15,2.2756754557291665,3,3,1,8,E3,6,28930.978516
4,12,2.141387939453125,1,5,0,6,E3,6,28704.199219
4,12,2.172637939453125,1,6,0,5,E3,6,28697.962891
5,12,2.2317097981770835,0,5,1,6,E3,6,28348.65625
6,13,2.060772235576923,2,4,0,7,E3,6,28060.220703
6,14,2.0211879185267856,2,5,0,7,E3,6,27890.675781
9,25,2.2084521484375,6,8,3,8,E3,7,29943.949219
9,25,2.2052294921875,7,7,3,8,E3,7,29643.0625
8,22,2.2441961115056817,5,6,4,7,E3,7,28767.751953
8,25,2.2002294921875,6,7,4,8,E3,7,27788.425781
9,25,2.1628173828125,5,7,4,9,E3,7,27483.929688
8,25,2.1871044921875,8,7,3,7,E3,7,27482.46875
8,23,2.103823454483696,6,6,3,8,E3,7,27419.691406
9,25,2.1231298828125,5,7,4,9,E3,7,27369.394531
9,25,2.2002294921875,7,7,3,8,E3,7,27343.455078
9,25,2.1100048828125,5,8,3,9,E3,7,27284.216797
6,21,2.2788783482142856,4,8,4,5,E3,8,30074.507812
6,20,2.229119873046875,3,8,4,5,E3,8,29280.386719
5,20,2.216619873046875,3,8,4,5,E3,8,28130.1875
6,20,2.216717529296875,3,8,4,5,E3,8,28103.339844
6,20,2.216766357421875,3,8,4,5,E3,8,28086.773438
6,19,2.1235287314967106,3,8,3,5,E3,8,27979.705078
6,20,2.165386962890625,3,8,3,6,E3,8,27391.900391
6,20,1.878973388671875,4,7,2,7,E3,8,27308.90625
6,20,2.216717529296875,3,8,4,5,E3,8,27121.964844
6,20,2.052886962890625,3,8,4,5,E3,8,27109.203125
5,18,2.1952039930555554,2,8,1,7,E3,9,28601.792969
6,20,2.08392333984375,5,7,2,6,E3,9,27014.695312
5,16,2.083038330078125,1,7,1,7,E3,9,26613.398438
6,18,2.2481553819444446,2,6,2,8,E3,9,25362.359375
8,20,2.086767578125,3,5,5,7,E3,9,25353.083984
5,16,2.083038330078125,1,7,1,7,E3,9,24973.214844
5,17,2.2990866268382355,2,8,2,5,E3,9,24820.748047
6,18,2.1952039930555554,2,7,2,7,E3,9,24548.042969
