"experiment_id","scenario","zone","runs","total_larvae","mean_larvae_per_run","sd_larvae_per_run","mean_proportion","sd_proportion"
"E3","V3A","zone1 (nearest)",300,282755,942.516666666667,338.599480827932,0.838133333333333,0.108465161194114
"E3","V3A","zone2",300,18160,60.5333333333333,55.1705372715516,0.0537333333333333,0.0411615085751583
"E3","V3A","zone3",300,11386,37.9533333333333,35.3570108504166,0.0338533333333333,0.0290851331805326
"E3","V3A","zone4",300,9331,31.1033333333333,29.2748363336746,0.0276533333333333,0.0233166329787796
"E3","V3A","zone5 (farthest)",300,15868,52.8933333333333,71.4824530394044,0.0466266666666667,0.0575046947819228
"E3","V3B","zone1 (nearest)",300,291823,972.743333333333,398.65040399357,0.864226666666667,0.192278231607366
"E3","V3B","zone2",300,13342,44.4733333333333,61.5266423153762,0.03964,0.0506432575154144
"E3","V3B","zone3",300,8587,28.6233333333333,47.9203085911788,0.0255733333333333,0.0403871476405223
"E3","V3B","zone4",300,10953,36.51,80.2832146123645,0.0324933333333333,0.0661569782774645
"E3","V3B","zone5 (farthest)",300,12795,42.65,81.2474285674903,0.0380666666666667,0.0692816139317316
"E3","V3C","zone1 (nearest)",300,290712,969.04,398.828508254683,0.86144,0.198271746225151
"E3","V3C","zone2",300,13795,45.9833333333333,67.0331350368242,0.0411333333333333,0.0561769381819671
"E3","V3C","zone3",300,8898,29.66,49.3541335824289,0.0262933333333333,0.0410467629016537
"E3","V3C","zone4",300,11627,38.7566666666667,84.8249276454495,0.0343066666666667,0.0690271573396311
"E3","V3C","zone5 (farthest)",300,12468,41.56,80.4971160080827,0.0368266666666667,0.0688625937036517
"E3","V3D","zone1 (nearest)",300,223742,745.806666666667,373.209557579184,0.663306666666667,0.238678298951098
"E3","V3D","zone2",300,27736,92.4533333333333,100.961570003711,0.08212,0.0803453182657464
"E3","V3D","zone3",300,21287,70.9566666666667,75.4634828667271,0.0629066666666667,0.0609567363072065
"E3","V3D","zone4",300,20266,67.5533333333333,73.0386379322082,0.0604533333333333,0.06117692820039
"E3","V3D","zone5 (farthest)",300,44469,148.23,156.019198822894,0.131213333333333,0.124279843177765
"E3","V3E","zone1 (nearest)",300,80340,267.8,139.823562973276,0.237933333333333,0.0916281321660348
"E3","V3E","zone2",300,57978,193.26,92.7481525386415,0.172626666666667,0.0611233247211908
"E3","V3E","zone3",300,57339,191.13,97.394483337689,0.169613333333333,0.0609271495097231
"E3","V3E","zone4",300,58923,196.41,94.0986561556593,0.175293333333333,0.0617053681924686
"E3","V3E","zone5 (farthest)",300,82920,276.4,146.359867116437,0.244533333333333,0.0910098430243304
"E3","V3F","zone1 (nearest)",300,250603,835.343333333333,376.244004104123,0.743293333333333,0.215576400774277
"E3","V3F","zone2",300,37534,125.113333333333,141.998093946728,0.111346666666667,0.116352364528301
"E3","V3F","zone3",300,16471,54.9033333333333,81.7104807502502,0.0483866666666667,0.0630286643572411
"E3","V3F","zone4",300,10466,34.8866666666667,46.3073253762356,0.0310533333333333,0.0380066508291164
"E3","V3F","zone5 (farthest)",300,22426,74.7533333333333,114.395660082487,0.06592,0.0911215528363315
"E3","V3FHI","zone1 (nearest)",300,6542,21.8066666666667,65.8211518865666,NA,NA
"E3","V3FHI","zone2",300,259,0.863333333333333,3.32789802122719,NA,NA
"E3","V3FHI","zone3",300,190,0.633333333333333,2.53514867774716,NA,NA
"E3","V3FHI","zone4",300,188,0.626666666666667,2.46865748701249,NA,NA
"E3","V3FHI","zone5 (farthest)",300,321,1.07,3.9628416209047,NA,NA
"E3","V3FLO","zone1 (nearest)",300,6595,21.9833333333333,66.3275775781097,NA,NA
"E3","V3FLO","zone2",300,252,0.84,3.22112591711548,NA,NA
"E3","V3FLO","zone3",300,172,0.573333333333333,2.31570663360711,NA,NA
"E3","V3FLO","zone4",300,181,0.603333333333333,2.43153520099294,NA,NA
"E3","V3FLO","zone5 (farthest)",300,300,1,3.74344466052611,NA,NA
"E3","V3SPL140","zone1 (nearest)",300,6333,21.11,64.1989323096498,NA,NA
"E3","V3SPL140","zone2",300,290,0.966666666666667,3.74240218790136,NA,NA
"E3","V3SPL140","zone3",300,248,0.826666666666667,3.79446290243411,NA,NA
"E3","V3SPL140","zone4",300,257,0.856666666666667,3.83821510682284,NA,NA
"E3","V3SPL140","zone5 (farthest)",300,372,1.24,4.69209824632618,NA,NA
"E3","V3SPL153","zone1 (nearest)",300,6594,21.98,66.316053838083,NA,NA
"E3","V3SPL153","zone2",300,248,0.826666666666667,3.20064096144859,NA,NA
"E3","V3SPL153","zone3",300,177,0.59,2.36796484878547,NA,NA
"E3","V3SPL153","zone4",300,177,0.59,2.38204684193881,NA,NA
"E3","V3SPL153","zone5 (farthest)",300,304,1.01333333333333,3.77987394574315,NA,NA
"E3","V3SPL160","zone1 (nearest)",300,6611,22.0366666666667,66.472832398249,NA,NA
"E3","V3SPL160","zone2",300,232,0.773333333333333,2.92525999568644,NA,NA
"E3","V3SPL160","zone3",300,167,0.556666666666667,2.23385075288752,NA,NA
"E3","V3SPL160","zone4",300,188,0.626666666666667,2.47407066209226,NA,NA
"E3","V3SPL160","zone5 (farthest)",300,302,1.00666666666667,3.75325351244105,NA,NA
"E3",NA,"zone1 (nearest)",300,18144,60.48,1047.54432841766,NA,NA
"E3",NA,"zone2",300,1134,3.78,65.4715205261036,NA,NA
"E3",NA,"zone3",300,486,1.62,28.0592230826158,NA,NA
"E3",NA,"zone4",300,243,0.81,14.0296115413079,NA,NA
"E3",NA,"zone5 (farthest)",300,243,0.81,14.0296115413079,NA,NA
