"experiment_id","scenario","run_seed","height_zone","larvae","total_larvae","proportion"
"E3","V3A",3101,"6-8 cm",36,2250,0.016
"E3","V3A",3101,">8 cm",774,2250,0.344
"E3","V3A",3102,"<2 cm",660,1000,0.66
"E3","V3A",3102,"2-4 cm",0,1000,0
"E3","V3A",3102,"4-6 cm",4,1000,0.004
"E3","V3A",3102,"6-8 cm",8,1000,0.008
"E3","V3A",3102,">8 cm",328,1000,0.328
"E3","V3A",3103,"<2 cm",628,1000,0.628
"E3","V3A",3103,"2-4 cm",4,1000,0.004
"E3","V3A",3103,"4-6 cm",4,1000,0.004
"E3","V3A",3103,"6-8 cm",16,1000,0.016
"E3","V3A",3103,">8 cm",348,1000,0.348
"E3","V3A",3104,"<2 cm",628,1000,0.628
"E3","V3A",3104,"2-4 cm",4,1000,0.004
"E3","V3A",3104,"4-6 cm",8,1000,0.008
"E3","V3A",3104,"6-8 cm",16,1000,0.016
"E3","V3A",3104,">8 cm",344,1000,0.344
"E3","V3A",3105,"<2 cm",644,1000,0.644
"E3","V3A",3105,"2-4 cm",4,1000,0.004
"E3","V3A",3105,"4-6 cm",0,1000,0
"E3","V3A",3105,"6-8 cm",16,1000,0.016
"E3","V3A",3105,">8 cm",336,1000,0.336
"E3","V3A",3106,"<2 cm",620,1000,0.62
"E3","V3A",3106,"2-4 cm",8,1000,0.008
"E3","V3A",3106,"4-6 cm",8,1000,0.008
"E3","V3A",3106,"6-8 cm",12,1000,0.012
"E3","V3A",3106,">8 cm",352,1000,0.352
"E3","V3A",3107,"<2 cm",648,1000,0.648
"E3","V3A",3107,"2-4 cm",16,1000,0.016
"E3","V3A",3107,"4-6 cm",0,1000,0
"E3","V3A",3107,"6-8 cm",8,1000,0.008
"E3","V3A",3107,">8 cm",328,1000,0.328
"E3","V3A",3108,"<2 cm",624,1000,0.624
"E3","V3A",3108,"2-4 cm",8,1000,0.008
"E3","V3A",3108,"4-6 cm",12,1000,0.012
"E3","V3A",3108,"6-8 cm",8,1000,0.008
"E3","V3A",3108,">8 cm",348,1000,0.348
"E3","V3A",3109,"<2 cm",656,1000,0.656
"E3","V3A",3109,"2-4 cm",12,1000,0.012
"E3","V3A",3109,"4-6 cm",0,1000,0
"E3","V3A",3109,"6-8 cm",8,1000,0.008
"E3","V3A",3109,">8 cm",324,1000,0.324
"E3","V3A",3110,"<2 cm",644,1000,0.644
"E3","V3A",3110,"2-4 cm",8,1000,0.008
"E3","V3A",3110,"4-6 cm",4,1000,0.004
"E3","V3A",3110,"6-8 cm",16,1000,0.016
"E3","V3A",3110,">8 cm",328,1000,0.328
"E3","V3A",4101,"<2 cm",2214,2250,0.984
"E3","V3A",4101,"2-4 cm",0,2250,0
"E3","V3A",4101,"4-6 cm",0,2250,0
"E3","V3A",4101,"6-8 cm",0,2250,0
"E3","V3A",4101,">8 cm",36,2250,0.016
"E3","V3A",4102,"<2 cm",984,1000,0.984
"E3","V3A",4102,"2-4 cm",0,1000,0
"E3","V3A",4102,"4-6 cm",0,1000,0
"E3","V3A",4102,"6-8 cm",0,1000,0
"E3","V3A",4102,">8 cm",16,1000,0.016
"E3","V3A",4103,"<2 cm",988,1000,0.988
"E3","V3A",4103,"2-4 cm",0,1000,0
"E3","V3A",4103,"4-6 cm",0,1000,0
"E3","V3A",4103,"6-8 cm",0,1000,0
