"experiment_id","scenario","metric","n","mean","sd","se","median","q1","q3","min","max","median_ci_low","median_ci_high"
"E1","V1A","clarke_evans_r",1215,0.197820180245756,0.0416858881246676,0.00119591667021262,0.196796855933254,0.171797580461513,0.222205998049587,0.0894579796120558,0.328139815252391,0.191791304152539,0.198732605961547
"E1","V1B","clarke_evans_r",1215,0.163665342667965,0.04941921625377,0.00141777630765536,0.154006274396382,0.128866580969903,0.183691996369626,0.0743314465175208,0.36905812244314,0.151615668355252,0.157297053441306
"E1","V1C","clarke_evans_r",1215,0.217905635193119,0.0389167242709774,0.00111647277770697,0.22318977673325,0.195469697130286,0.240134572928266,0.0893965103258883,0.346420027684004,0.220051771962001,0.225485753154539
"E1","V1D","clarke_evans_r",1215,0.217243474654589,0.118599165838811,0.00340246366050226,0.203298008488867,0.175547735433883,0.232339327655397,0.0861383366190375,1.43162940644222,0.200985036289495,0.206000838224263
"E1",NA,"clarke_evans_r",6315,0.102853723474909,0.0264718586515108,0.000333117737197229,0.107525287689111,0.0941425011477194,0.118501489112519,0,0.150039094478658,0.10668001031022,0.107984071501113
"E1","V1A","mean_nearest_neighbor_cm",1215,0.136192012599327,0.0714792651243902,0.00205065187722895,0.11434627670304,0.0993782494192833,0.140317196518755,0.0505736169675771,0.609320726406095,0.112779461696379,0.116785608660754
"E1","V1B","mean_nearest_neighbor_cm",1215,0.127255863899591,0.0841505053933146,0.00241417411824626,0.099640537839657,0.081728082221321,0.13847295193033,0.0455700724827328,0.875298191929222,0.0984064266265853,0.103690520695492
"E1","V1C","mean_nearest_neighbor_cm",1215,0.134349565939933,0.0582393258295237,0.00167081436320069,0.121979741282014,0.108843655184269,0.139642095343537,0.0503958989278259,0.694384851166226,0.121203315117868,0.123967111643011
"E1","V1D","mean_nearest_neighbor_cm",1215,0.281966263555034,0.671658890183938,0.0192690644149226,0.167734568488262,0.128911601351324,0.25420008785032,0.067903628189757,7.59236146081027,0.164928930282875,0.1715694042559
"E1",NA,"mean_nearest_neighbor_cm",6315,0.0352642566222734,0.0148814804184444,0.000187266226689911,0.0327459009044639,0.0284621921387277,0.0396351608967939,0,0.102247311690058,0.0325521105161631,0.0328191925471843
