active_neurons,eff_connections,mean_abs_weight,s2n,s2a,n2n,n2a,experiment,seed,fitness
9,48,1.9825668334960938,7,18,16,7,E2,1,219.998993
9,50,1.984501953125,8,17,16,9,E2,1,219.998993
9,48,2.0296783447265625,6,15,16,11,E2,1,219.998993
8,42,1.9960443405877977,6,16,11,9,E2,1,219.998993
9,50,1.984501953125,8,17,16,9,E2,1,219.998993
10,48,2.0840530395507812,8,15,13,12,E2,1,219.998993
8,47,2.0406883726728724,8,16,11,12,E2,1,219.998993
9,45,1.957522243923611,5,20,11,9,E2,1,219.998993
10,49,1.9933733258928572,4,16,17,12,E2,1,219.998993
7,40,2.0349456787109377,6,14,9,11,E2,1,219.998993
11,46,2.2756453804347827,9,12,12,13,E2,2,219.998993
10,43,2.384731558866279,7,14,12,10,E2,2,219.5
9,45,2.2580240885416667,10,15,11,9,E2,2,219.5
11,48,2.3606897989908853,5,15,16,12,E2,2,219.5
10,43,2.381824582122093,5,14,12,12,E2,2,219.5
10,42,2.330049060639881,5,13,12,12,E2,2,219.5
10,45,2.2442301432291667,8,13,12,12,E2,2,219.5
9,40,2.2965087890625,9,10,10,11,E2,2,219.5
9,42,2.311703636532738,6,14,13,9,E2,2,219.5
10,45,2.2442084418402777,9,13,10,13,E2,2,219.5
10,47,1.8350258685172873,15,6,10,16,E2,3,219.998993
8,41,1.7887588128810976,12,11,5,13,E2,3,219.998993
10,43,1.731380019077035,12,5,11,15,E2,3,219.998993
9,41,1.7418808355564024,11,7,9,14,E2,3,219.998993
8,40,1.701092529296875,9,8,10,13,E2,3,219.998993
9,45,1.7846869574652777,12,9,8,16,E2,3,219.998993
10,45,1.8998209635416667,13,6,13,13,E2,3,219.998993
6,39,1.822177984775641,15,10,3,11,E2,3,219.998993
5,36,1.78729248046875,13,9,4,10,E2,3,219.998993
11,49,1.822616888552296,15,5,12,17,E2,3,219.993607
8,37,2.118846996410473,7,13,9,8,E2,4,219.998993
12,50,2.11324462890625,11,13,11,15,E2,4,219.998993
8,36,2.1991509331597223,8,14,6,8,E2,4,219.998993
11,47,2.098222448470745,11,11,7,18,E2,4,219.998993
11,48,2.1387303670247397,10,12,11,15,E2,4,219.998993
8,39,2.105988331330128,7,16,7,9,E2,4,219.998993
11,48,2.1387354532877603,10,12,11,15,E2,4,219.998993
9,43,2.122269031613372,14,14,3,12,E2,4,219.998993
9,42,2.014491489955357,11,14,7,10,E2,4,219.998993
8,37,2.118846996410473,8,14,7,8,E2,4,219.998993
11,50,2.27759521484375,10,14,12,14,E2,5,219.998993
11,50,2.27919189453125,8,16,12,14,E2,5,219.998993
10,43,2.275112418241279,10,12,9,12,E2,5,219.998993
10,43,2.273658929869186,9,14,9,11,E2,5,219.998993
10,43,2.2728924418604652,9,14,9,11,E2,5,219.998993
11,50,2.29884521484375,9,15,9,17,E2,5,219.998993
10,45,2.2980278862847223,6,15,10,14,E2,5,219.99762
9,44,2.317757346413352,5,14,10,15,E2,5,219.968994
11,50,2.33413330078125,8,14,12,16,E2,5,219.907669
10,46,2.2969784943953804,9,14,10,13,E2,5,219.880539
11,46,1.8371396272078804,11,10,9,16,E2,6,219.998993
9,44,1.9017666903409092,12,10,9,13,E2,6,219.998993
10,46,1.888069484544837,13,10,9,14,E2,6,219.998993
10,48,1.9007670084635417,8,15,10,15,E2,6,219.5
11,47,1.8683224941821808,12,10,10,15,E2,6,219.498993
10,47,1.8424695603390957,10,11,10,16,E2,6,219.498993
11,46,1.9278590990149456,11,11,7,17,E2,6,219.498993
10,47,1.8316650390625,10,12,9,16,E2,6,219.498993
11,49,1.8954231106505102,10,13,10,16,E2,6,219.498993
10,48,1.8075154622395833,11,14,9,14,E2,6,219.498993
7,38,1.8298789576480263,8,15,7,8,E2,7,219.998993
8,36,1.7845798068576388,5,17,6,8,E2,7,219.998993
7,38,1.9511204769736843,11,14,2,11,E2,7,219.998993
8,38,1.7225630910773027,6,15,5,12,E2,7,219.998993
9,40,1.7543701171875,8,10,10,12,E2,7,219.998993
7,38,1.725842927631579,8,12,7,11,E2,7,219.998993
9,39,1.7025052584134615,8,12,8,11,E2,7,219.662552
7,39,1.8606270032051282,8,13,5,13,E2,7,219.498993
9,43,1.760608761809593,8,14,11,10,E2,7,219.498993
7,42,1.8284708658854167,8,16,5,13,E2,7,219.498993
9,45,2.0067681206597223,9,14,9,13,E2,8,219.998993
6,36,1.9373033311631944,6,16,3,11,E2,8,219.998993
8,45,2.0032958984375,10,14,9,12,E2,8,219.998993
