experiment,sensor,role,n_steps,observed_sd,mean_abs_corr,abs_corr_FORWARD,abs_corr_ROTATE_YAW,abs_corr_ROTATE_PITCH,abs_corr_SET_OSC,abs_corr_SETTLE
E2,LIGHT_INTENSITY,environmental_primary,184081,0.35446472247871363,0.10132453841128206,0.04223301682054764,0.1074502892230394,0.1492837565889329,0.08089251771362707,0.12676311171026333
E2,TEMPERATURE,environmental_primary,184081,0.12419961661464997,0.06273231434752127,0.02805358473742261,0.05903587138907428,0.044234099403133054,0.13135763230850292,0.05098038389947346
E2,ENERGY,internal,184081,0.3039777299065943,0.056653113029338356,0.009531657555889217,0.02444155118816357,0.04332469189236095,0.1307978585512324,0.07516980595904565
E2,PARTICLE_MOTION_FORWARD_BACK,inactive_no_field,184081,0.6081606245282222,0.048384689626640574,0.038716269419210726,0.03903742061042852,0.03496016602448575,0.06195375422186298,0.0672558378572149
E2,PRESSURE,environmental_primary,184081,0.41776720739229467,0.04756290939470102,0.014830016328048385,0.09386846938957825,0.06940318468596447,0.007338583156175041,0.05237429341373902
E2,AGE,internal,184081,0.16070727686915046,0.04588150558050717,0.05352887204751103,0.09757485136655161,0.03656182232480027,0.02221143934295862,0.01953054282071436
E2,LIGHT_WAVELENGTH,environmental_primary,184081,0.08953226465269234,0.04464647004906091,0.001906125243291788,0.09290025885448262,0.02742160658893979,0.04926898749852193,0.051735372060068424
E2,PARTICLE_MOTION_UP_DOWN,inactive_no_field,184081,0.6979677223615892,0.04416773190510965,0.018455315410604026,0.05736953664223967,0.04199452987848027,0.06485040517811229,0.038168872416111964
E2,CCA_UP_DOWN,environmental_primary,184081,0.30630639824729117,0.024952801736633286,0.026042805872412582,0.029995376967682424,0.03632892572927878,0.0009119389766409022,0.03148496113715172
E2,ALTEROMONAS_BIOFILM,environmental_primary,184081,0.19319505471774615,0.018955207751493,0.014367471522203428,0.038686769121663536,0.018707593833519175,0.016184876761250442,0.0068293275188284165
E2,CCA_LEFT_RIGHT,environmental_primary,184081,0.23716235753069095,0.01855664049134282,0.0004856180853403194,0.010418839960426274,0.030324173565715255,0.03327513555344979,0.018279435291782452
E2,CCA,environmental_primary,184081,0.24327113703826583,0.017556577322889993,0.045636551296528736,0.017539167537479396,0.012901190790268736,0.0089121487026576,0.0027938282875155126
E2,CCA_FORWARD_BACK,environmental_primary,184081,0.30435920236544656,0.011706552079753945,0.03035232394930859,0.0040030363332527324,0.00774122715240346,0.016386130307870783,5.004265593415156e-05
