"experiment","method","metric","n","mean","sd","median","q1","q3","min","max","median_ci_low","median_ci_high"
"E3","Truncation","correct_settlement_rate",30,0,0,0,0,0,0,0,0,0
"E3","SUS","correct_settlement_rate",30,0,0,0,0,0,0,0,0,0
"E3","Elitism","final_avg_fitness",30,25699.2322917,7609.7243282053,27721.4570315,22836.731445,30700.977051,8163.040039,35397.03125,23943.254883,30358.6152345
"E3","Truncation","final_avg_fitness",30,13163.9381510667,8803.03163986918,9592.6875,7710.49145525,15128.29956075,4512.518555,32520.507812,8247.5166015,11834.400879
"E3","SUS","final_avg_fitness",30,12988.5366698667,9107.19859686726,7049.7160645,6661.479736,23385.492676,5330.854492,30603.882812,6829.5524905,14961.0195315
"E3","Elitism","final_boundary_contacts",30,234649,29826.8734463773,242562,239194.25,247258,108503,248938,240874.5,247169
"E3","Truncation","final_boundary_contacts",30,231155,31158.6872969476,244634,236617,247225.25,140777,249929,241842.5,246372
"E3","SUS","final_boundary_contacts",30,117512.6,88713.8758732543,83576,44267.75,232134.75,9279,247759,58597.5,146797
"E3","Elitism","final_correct_settlers",30,0,0,0,0,0,0,0,0,0
"E3","Truncation","final_correct_settlers",30,0,0,0,0,0,0,0,0,0
"E3","SUS","final_correct_settlers",30,0,0,0,0,0,0,0,0,0
"E3","Elitism","final_genetic_diversity",30,0.2114,0.0418049375907382,0.20945,0.1764,0.24740075,0.1466,0.2983,0.1845,0.23585
"E3","Truncation","final_genetic_diversity",30,0.0892732666666667,0.0345041206743868,0.084,0.07147475,0.0961,0.0321,0.184,0.0735,0.0895
"E3","SUS","final_genetic_diversity",30,0.505933333333333,0.135159901045298,0.55675,0.4008,0.60445,0.2027,0.6605,0.47145,0.5854
"E3","Elitism","final_max_fitness",30,61868.9915365333,443.512318859617,62065.642578,61665.4687495,62203.5966795,60240.640625,62307.742188,61793.0058595,62138.3964845
"E3","Truncation","final_max_fitness",30,61715.8660154667,753.829347687484,61860.419922,61634.319336,62102.56543,58171.414062,62301.726562,61717.988281,62019.175781
"E3","SUS","final_max_fitness",30,53588.4942709333,11114.1680140459,57036.285156,50223.69433625,61550.50976525,18544.355469,62209.464844,53774.199219,61309.2851565
"E3","Elitism","final_total_settlers",30,2.9,2.44032219466879,2,1,4,0,11,1.5,3
"E3","Truncation","final_total_settlers",30,2.4,2.44385224453187,2,1,3,0,11,1,3
"E3","SUS","final_total_settlers",30,120.866666666667,89.0144247641468,145.5,12.25,186.5,2,237,59.5,184.5
"E3","Elitism","incorrect_settlers",30,2.9,2.44032219466879,2,1,4,0,11,1.5,3
"E3","Truncation","incorrect_settlers",30,2.4,2.44385224453187,2,1,3,0,11,1,3
"E3","SUS","incorrect_settlers",30,120.866666666667,89.0144247641468,145.5,12.25,186.5,2,237,59.5,184.5
