experiment,sensor,role,n_steps,observed_sd,mean_abs_corr,abs_corr_FORWARD,abs_corr_ROTATE_YAW,abs_corr_ROTATE_PITCH,abs_corr_SET_OSC,abs_corr_SETTLE
E3,PARTICLE_MOTION_LEFT_RIGHT,environmental_primary,368421,0.48480463987312067,0.17618703756932505,0.19412770144066502,0.22015820136527725,0.2924339768909581,0.15759265731851246,0.016622650831212466
E3,PARTICLE_MOTION,environmental_primary,368421,0.48480463987312067,0.17618703756932505,0.19412770144066502,0.22015820136527725,0.2924339768909581,0.15759265731851246,0.016622650831212466
E3,PARTICLE_MOTION_UP_DOWN,environmental_primary,368421,0.6550211611456066,0.1705764167856039,0.1224764942237633,0.23758460082595184,0.0017045040785917524,0.2754367552605354,0.2156797295391771
E3,PARTICLE_MOTION_FORWARD_BACK,environmental_primary,368421,0.2966054063906955,0.14269856475164838,0.11273193720304976,0.10897012921158744,0.20665696175279227,0.1828681088292201,0.10226568676159244
E3,PRESSURE,environmental_weak,368421,0.4206632205368355,0.13588331570815626,0.042808524373698816,0.2546571744315304,0.042612989837607335,0.17519416587855638,0.1641437240193884
E3,LIGHT_WAVELENGTH,inactive_no_field,368421,0.0038924829169951296,0.13131745233333764,0.24849716003816807,0.20929184356127156,0.06580438541129875,0.08253034436246748,0.05046352829348225
E3,AGE,internal,368421,0.029935035349645728,0.1288467712435511,0.006033058245183045,0.2258438975447686,0.1312143107883884,0.1483135937642296,0.1328289958751859
E3,LIGHT_INTENSITY,inactive_no_field,368421,0.4924432914080878,0.1130047965141959,0.14659845515182485,0.0020092817564634773,0.24255714678108545,0.05058050540662834,0.12327859347497747
E3,ENERGY,internal,368421,0.47777593436582194,0.1114774869750836,0.0631947883693285,0.11202903980416289,0.09647762688875877,0.24555522143658134,0.040130758376586424
E3,TEMPERATURE,environmental_weak,368421,0.20138136779149882,0.060151341907705845,0.006304580253346681,0.023218823615127695,0.07686465262705064,0.09142203029280065,0.10294662275020355
