"experiment","metric","baseline_setup","comparison_setup","baseline_median","comparison_median","median_difference_baseline_minus_comparison","p_value","p_holm"
"E1","correct_settlement_rate","H1","H2",0.876,0.896,-0.02,0.61492068534247,0.61492068534247
"E1","correct_settlement_rate","H1","H3",0.876,0.802,0.074,0.0217257910945625,0.043451582189125
"E1","correct_settlement_rate","H1","H4",0.876,0.41,0.466,5.24999825208348e-10,1.57499947562505e-09
"E2","correct_settlement_rate","H1","H2",0.96,0.986,-0.026,2.3980873474237e-06,4.7961746948474e-06
"E2","correct_settlement_rate","H1","H3",0.96,0.976,-0.016,5.13636841707293e-05,5.13636841707293e-05
"E2","correct_settlement_rate","H1","H4",0.96,0.48,0.48,2.76343784587672e-11,8.29031353763015e-11
"E3","correct_settlement_rate","H1","H2",0,0,0,NA,NA
"E3","correct_settlement_rate","H1","H3",0,0,0,NA,NA
"E3","correct_settlement_rate","H1","H4",0,0,0,NA,NA
"E1","incorrect_settlers","H1","H2",14.5,13,1.5,0.923387997831311,1
"E1","incorrect_settlers","H1","H3",14.5,14.5,0,0.657027867754309,1
"E1","incorrect_settlers","H1","H4",14.5,10.5,4,0.534060893470164,1
"E2","incorrect_settlers","H1","H2",5.5,3,2.5,0.000324460469797632,0.000648920939595263
"E2","incorrect_settlers","H1","H3",5.5,2,3.5,0.000435397844369149,0.000648920939595263
"E2","incorrect_settlers","H1","H4",5.5,3,2.5,0.000152314984773935,0.000456944954321804
"E3","incorrect_settlers","H1","H2",2,0,2,7.09244571330623e-05,0.000212773371399187
"E3","incorrect_settlers","H1","H3",2,1,1,0.015454359959751,0.030908719919502
"E3","incorrect_settlers","H1","H4",2,2,0,0.379252561431939,0.379252561431939
