"experiment","metric","method_1","method_2","median_1","median_2","median_difference","p_value","p_holm"
"E3","final_genetic_diversity","Elitism","Truncation",0.20945,0.084,0.12545,1.09302241915012e-10,2.18604483830023e-10
"E3","final_genetic_diversity","Elitism","SUS",0.20945,0.55675,-0.3473,2.15439927669119e-10,2.18604483830023e-10
"E3","final_genetic_diversity","Truncation","SUS",0.084,0.55675,-0.47275,3.01796679849045e-11,9.05390039547134e-11
"E1","correct_settlement_rate","Elitism","Truncation",0.876,0.794,0.082,0.000481886625530691,0.00144565987659207
"E1","correct_settlement_rate","Elitism","SUS",0.876,0.872,0.004,0.353977069771184,0.360112544642039
"E1","correct_settlement_rate","Truncation","SUS",0.794,0.872,-0.078,0.180056272321019,0.360112544642039
"E2","correct_settlement_rate","Elitism","Truncation",0.946,0.89,0.0559999999999999,0.00807856933378379,0.0161571386675676
"E2","correct_settlement_rate","Elitism","SUS",0.946,0.96,-0.014,0.0521829723322075,0.0521829723322075
"E2","correct_settlement_rate","Truncation","SUS",0.89,0.96,-0.07,0.000114396583474263,0.000343189750422789
"E3","correct_settlement_rate","Elitism","Truncation",0,0,0,NA,NA
"E3","correct_settlement_rate","Elitism","SUS",0,0,0,NA,NA
"E3","correct_settlement_rate","Truncation","SUS",0,0,0,NA,NA
"E1","incorrect_settlers","Elitism","Truncation",14.5,23.5,-9,0.0111770041990917,0.0111770041990917
"E1","incorrect_settlers","Elitism","SUS",14.5,7,7.5,0.00442924803136168,0.00885849606272335
"E1","incorrect_settlers","Truncation","SUS",23.5,7,16.5,4.98584259348201e-05,0.00014957527780446
"E2","incorrect_settlers","Elitism","Truncation",7.5,14,-6.5,0.0354414484489296,0.0708828968978592
"E2","incorrect_settlers","Elitism","SUS",7.5,5.5,2,0.288352351978954,0.288352351978954
"E2","incorrect_settlers","Truncation","SUS",14,5.5,8.5,0.00393265728839735,0.011797971865192
"E3","incorrect_settlers","Elitism","Truncation",2,2,0,0.325417565398253,0.325417565398253
"E3","incorrect_settlers","Elitism","SUS",2,145.5,-143.5,3.39002586032123e-09,6.78005172064247e-09
"E3","incorrect_settlers","Truncation","SUS",2,145.5,-143.5,1.57743310949657e-09,4.73229932848972e-09
