experiment,sensor,role,n_controllers_wiring,frac_controllers,mean_total_influence,se_total_influence,infl_FORWARD,infl_ROTATE_YAW,infl_ROTATE_PITCH,infl_SET_OSC,infl_SETTLE
E1,ALTEROMONAS_BIOFILM,environmental_primary,278,0.9266666666666666,1.4613981683005512,0.06678148954671538,0.27860393002383044,0.2643976540436833,0.34037460074671794,0.26242165553734154,0.3156003279489779
E1,CCA_FORWARD_BACK,environmental_primary,227,0.7566666666666667,0.9429653314487789,0.0540411333398951,0.24347735338234394,0.34437618350890686,0.07566749146167318,0.17298335612905272,0.10646094696680236
E1,CCA_LEFT_RIGHT,environmental_primary,245,0.8166666666666667,0.9048959419516766,0.06177561962105905,0.19866687724968954,0.16812822135280714,0.16740831487912478,0.2697099968983567,0.10098253157169837
E1,TEMPERATURE,environmental_weak,244,0.8133333333333334,0.8240757928233025,0.05243841914687441,0.14889881128353297,0.13959519668105064,0.14823793571063085,0.21501251069946672,0.17233133844862134
E1,CCA,environmental_primary,238,0.7933333333333333,0.748110972213802,0.04145919304070453,0.07522777332978481,0.1199247727174553,0.16533027309679513,0.14077008696113602,0.24685806610863079
E1,PRESSURE,environmental_weak,252,0.84,0.6967863472898793,0.04280898855498171,0.09350089877753995,0.18433127615424547,0.14187649040996708,0.1933348012323874,0.08374288071573942
E1,CCA_UP_DOWN,environmental_primary,216,0.72,0.6967232292489987,0.05136048902537612,0.05075794271168911,0.28227239358760986,0.0636128291711293,0.14624935538672895,0.15383070839184135
E2,LIGHT_INTENSITY,environmental_primary,245,0.8166666666666667,0.9863990754824935,0.06959013047770046,0.15856526984164707,0.10653563193776402,0.25019595910689857,0.22931032736687648,0.24179188722930747
E2,CCA,environmental_primary,224,0.7466666666666667,0.769881479922873,0.043619187184081656,0.11550312439535212,0.16893935762214227,0.2139331882500444,0.16447560256860844,0.10703020708672582
E2,ALTEROMONAS_BIOFILM,environmental_primary,225,0.75,0.7658135309163231,0.050499354466532795,0.11016021506439115,0.1284800097103104,0.19123612861376696,0.22459766967343717,0.11133950785441742
E2,LIGHT_WAVELENGTH,environmental_primary,226,0.7533333333333333,0.7302356110410712,0.04899906481233906,0.12433808091288184,0.11916505998430406,0.23456472874259507,0.14664345307450685,0.10552428832678341
E2,CCA_UP_DOWN,environmental_primary,175,0.5833333333333334,0.6829894819720281,0.053824900630150024,0.1327167074183177,0.11699645734245599,0.19540479266522875,0.13690257315796805,0.10096895138805759
E2,TEMPERATURE,environmental_primary,224,0.7466666666666667,0.673578517745793,0.05417041341428084,0.12515832622813813,0.08843236002037795,0.14315196884915027,0.10517941640714347,0.21165644624098334
E2,CCA_LEFT_RIGHT,environmental_primary,224,0.7466666666666667,0.6472232735722401,0.05351112376630226,0.07008404613174272,0.14128386779597318,0.1377148597109352,0.19846494213261678,0.09967555780097219
E2,CCA_FORWARD_BACK,environmental_primary,257,0.8566666666666667,0.5903899970175083,0.046374590639972894,0.10305367797804836,0.0843196601858067,0.16639633820539565,0.12198666913602835,0.11463365151222912
E2,PRESSURE,environmental_primary,233,0.7766666666666666,0.5175468142994348,0.03960352287975361,0.12896082407504764,0.09171706416465183,0.06704628892181592,0.1404560126943854,0.08936662444353405
E3,PARTICLE_MOTION_LEFT_RIGHT,environmental_primary,270,0.9,1.015480299867269,0.048710199160998,0.24599705028900193,0.31426031482396455,0.11302159997746691,0.25372178026943726,0.08847955450739839
E3,PRESSURE,environmental_weak,109,0.36333333333333334,0.7431933561891219,0.05463183032866176,0.31899270127718665,0.1319069222053094,0.22366173954535135,0.05038337889991588,0.018248614261358622
E3,PARTICLE_MOTION,environmental_primary,113,0.37666666666666665,0.7010418917570642,0.06640256054683655,0.09528333849106843,0.18000467941057446,0.1932880936712703,0.11997251872574811,0.11249326145840273
E3,PARTICLE_MOTION_UP_DOWN,environmental_primary,172,0.5733333333333334,0.6818849722744903,0.044591559803843765,0.2741472090411039,0.14079340759290324,0.18370395745441445,0.05103881829624438,0.0322015798898243
E3,TEMPERATURE,environmental_weak,140,0.4666666666666667,0.6147138185295895,0.04119503284949416,0.0021770773650738573,0.0544291529421729,0.2565945513725652,0.10355647867634853,0.1979565581734291
E3,PARTICLE_MOTION_FORWARD_BACK,environmental_primary,134,0.44666666666666666,0.4098895005386284,0.030190526963371028,0.008564212823649981,0.08182251140291899,0.13677660329629276,0.13135028348701144,0.05137588952875521
