active_neurons,eff_connections,mean_abs_weight,s2n,s2a,n2n,n2a,experiment,seed,fitness
8,33,2.1572894472064394,8,11,3,11,E1,9,8467.124023
8,33,2.180016719933712,7,11,4,11,E1,9,8465.658203
8,34,2.173275218290441,7,12,6,9,E1,9,8463.733398
11,49,1.9271314971301021,19,12,11,7,E1,10,10660.864258
10,45,1.8222954644097222,17,11,10,7,E1,10,9870.640625
10,45,1.8445231119791667,17,11,10,7,E1,10,9248.788086
10,46,2.0034498131793477,12,13,10,11,E1,10,9173.295898
10,45,1.8445231119791667,16,11,11,7,E1,10,9063.866211
10,46,1.8458198879076086,13,15,10,8,E1,10,9017.537109
10,45,1.8569688585069444,13,13,10,9,E1,10,8979.694336
10,45,1.8453369140625,11,16,10,8,E1,10,8970.789062
11,49,1.9017259247448979,18,13,10,8,E1,10,8916.625
10,45,1.844723849826389,12,15,10,8,E1,10,8900.486328
7,34,1.5767391429227942,6,14,6,8,E1,11,10174.574219
9,45,1.68779296875,9,12,16,8,E1,11,10009.807617
8,44,1.6204833984375,9,13,13,9,E1,11,9758.035156
7,35,1.5597342354910715,8,14,5,8,E1,11,9641.646484
7,34,1.5730626723345589,6,14,6,8,E1,11,9454.900391
6,35,1.4771484375,6,14,7,8,E1,11,9390.164062
9,44,1.6695778586647727,9,13,13,9,E1,11,9388.214844
9,45,1.6539469401041667,8,15,13,9,E1,11,9384.271484
8,43,1.6038875136264534,9,13,13,8,E1,11,9332.793945
7,35,1.5595110212053571,7,14,6,8,E1,11,9332.632812
10,45,1.6713568793402778,5,19,6,15,E1,12,8491.635742
10,48,1.5632476806640625,9,19,8,12,E1,12,8490.739258
10,49,1.7386100924744898,6,19,11,13,E1,12,8484.953125
8,47,1.6365161652260638,7,16,7,17,E1,12,8479.019531
9,45,1.5939643012152778,7,18,8,12,E1,12,8478.810547
9,45,1.5939643012152778,7,18,8,12,E1,12,8476.152344
9,46,1.646508258322011,7,19,8,12,E1,12,8474.958984
9,48,1.7102813720703125,5,18,10,15,E1,12,8474.328125
9,44,1.7719310413707385,5,19,5,15,E1,12,8470.915039
8,44,1.643096923828125,5,20,7,12,E1,12,8465.476562
8,36,1.7442898220486112,10,11,5,10,E1,13,8490.714844
10,42,1.7237519763764881,11,10,9,12,E1,13,8468.885742
8,37,1.7212573902027026,10,9,6,12,E1,13,8464.59375
10,43,1.7869816269985466,12,11,10,10,E1,13,8447.833984
9,42,1.6403837658110119,9,11,10,12,E1,13,8444.754883
7,34,1.7871632295496322,9,10,7,8,E1,13,8419.333984
8,38,1.723915501644737,11,10,7,10,E1,13,8415.736328
7,35,1.787098911830357,8,13,6,8,E1,13,8411.896484
7,36,1.6666429307725694,8,13,5,10,E1,13,8401.932617
8,36,1.7407633463541667,10,11,4,11,E1,13,8400.693359
9,43,2.076574990915698,9,11,7,16,E1,14,8571.263672
