experiment,sensor,role,n_controllers_wiring,frac_controllers,mean_total_influence,se_total_influence,infl_FORWARD,infl_ROTATE_YAW,infl_ROTATE_PITCH,infl_SET_OSC,infl_SETTLE
E2,LIGHT_INTENSITY,environmental_primary,245,0.8166666666666667,0.9863990754824935,0.06959013047770046,0.15856526984164707,0.10653563193776402,0.25019595910689857,0.22931032736687648,0.24179188722930747
E2,ENERGY,internal,271,0.9033333333333333,0.8709910252642497,0.059525675577793286,0.18989849331389005,0.15837916141244085,0.11432588809689428,0.15054338081579202,0.25784410162523264
E2,PARTICLE_MOTION,inactive_no_field,262,0.8733333333333333,0.8156447806274225,0.048301758112179856,0.11893576642878217,0.1623600786198439,0.20308807159552078,0.15155198567530248,0.1797088783079733
E2,CCA,environmental_primary,224,0.7466666666666667,0.769881479922873,0.043619187184081656,0.11550312439535212,0.16893935762214227,0.2139331882500444,0.16447560256860844,0.10703020708672582
E2,ALTEROMONAS_BIOFILM,environmental_primary,225,0.75,0.7658135309163231,0.050499354466532795,0.11016021506439115,0.1284800097103104,0.19123612861376696,0.22459766967343717,0.11133950785441742
E2,LIGHT_WAVELENGTH,environmental_primary,226,0.7533333333333333,0.7302356110410712,0.04899906481233906,0.12433808091288184,0.11916505998430406,0.23456472874259507,0.14664345307450685,0.10552428832678341
E2,CCA_UP_DOWN,environmental_primary,175,0.5833333333333334,0.6829894819720281,0.053824900630150024,0.1327167074183177,0.11699645734245599,0.19540479266522875,0.13690257315796805,0.10096895138805759
E2,TEMPERATURE,environmental_primary,224,0.7466666666666667,0.673578517745793,0.05417041341428084,0.12515832622813813,0.08843236002037795,0.14315196884915027,0.10517941640714347,0.21165644624098334
E2,CCA_LEFT_RIGHT,environmental_primary,224,0.7466666666666667,0.6472232735722401,0.05351112376630226,0.07008404613174272,0.14128386779597318,0.1377148597109352,0.19846494213261678,0.09967555780097219
E2,PARTICLE_MOTION_UP_DOWN,inactive_no_field,199,0.6633333333333333,0.6462647746868626,0.051441759654823414,0.11499698118301165,0.10102161894823262,0.15313912631872195,0.1234927873054718,0.15361426093142466
E2,CCA_FORWARD_BACK,environmental_primary,257,0.8566666666666667,0.5903899970175083,0.046374590639972894,0.10305367797804836,0.0843196601858067,0.16639633820539565,0.12198666913602835,0.11463365151222912
E2,AGE,internal,217,0.7233333333333334,0.5704569983221373,0.04101679051820891,0.07916664715201877,0.15277585017827303,0.13286044019220242,0.0964821755119997,0.10917188528764336
E2,PARTICLE_MOTION_LEFT_RIGHT,inactive_no_field,196,0.6533333333333333,0.5534349164899606,0.04517853529857569,0.053608400760434764,0.16171633200724853,0.11983176732393284,0.1646633369263071,0.05361507947203735
E2,OSCILLATION,internal,226,0.7533333333333333,0.5423040888873001,0.048549467621214565,0.06951209427371312,0.13842165350605865,0.1471745507235953,0.056966926579972946,0.13022886380396004
E2,PARTICLE_MOTION_FORWARD_BACK,inactive_no_field,217,0.7233333333333334,0.5413427266095419,0.04283416842708088,0.05512980525039765,0.09707761926326249,0.1176759927179859,0.21082373610653865,0.06063557327135718
E2,PRESSURE,environmental_primary,233,0.7766666666666666,0.5175468142994348,0.03960352287975361,0.12896082407504764,0.09171706416465183,0.06704628892181592,0.1404560126943854,0.08936662444353405
