experiment,sensor,role,n_controllers_wiring,frac_controllers,mean_total_influence,se_total_influence,infl_FORWARD,infl_ROTATE_YAW,infl_ROTATE_PITCH,infl_SET_OSC,infl_SETTLE
E3,PARTICLE_MOTION_LEFT_RIGHT,environmental_primary,270,0.9,1.015480299867269,0.048710199160998,0.24599705028900193,0.31426031482396455,0.11302159997746691,0.25372178026943726,0.08847955450739839
E3,PRESSURE,environmental_weak,109,0.36333333333333334,0.7431933561891219,0.05463183032866176,0.31899270127718665,0.1319069222053094,0.22366173954535135,0.05038337889991588,0.018248614261358622
E3,PARTICLE_MOTION,environmental_primary,113,0.37666666666666665,0.7010418917570642,0.06640256054683655,0.09528333849106843,0.18000467941057446,0.1932880936712703,0.11997251872574811,0.11249326145840273
E3,PARTICLE_MOTION_UP_DOWN,environmental_primary,172,0.5733333333333334,0.6818849722744903,0.044591559803843765,0.2741472090411039,0.14079340759290324,0.18370395745441445,0.05103881829624438,0.0322015798898243
E3,TEMPERATURE,environmental_weak,140,0.4666666666666667,0.6147138185295895,0.04119503284949416,0.0021770773650738573,0.0544291529421729,0.2565945513725652,0.10355647867634853,0.1979565581734291
E3,PARTICLE_MOTION_FORWARD_BACK,environmental_primary,134,0.44666666666666666,0.4098895005386284,0.030190526963371028,0.008564212823649981,0.08182251140291899,0.13677660329629276,0.13135028348701144,0.05137588952875521
