experiment,sensor,role,n_controllers_wiring,frac_controllers,mean_total_influence,se_total_influence,infl_FORWARD,infl_ROTATE_YAW,infl_ROTATE_PITCH,infl_SET_OSC,infl_SETTLE
E3,PARTICLE_MOTION_LEFT_RIGHT,environmental_primary,270,0.9,1.015480299867269,0.048710199160998,0.24599705028900193,0.31426031482396455,0.11302159997746691,0.25372178026943726,0.08847955450739839
E3,CCA_UP_DOWN,inactive_no_field,120,0.4,0.8519069973092475,0.06906670181140144,0.19677359576379025,0.12673453129716747,0.2425035468712042,0.13975814522003824,0.14613717815704735
E3,ALTEROMONAS_BIOFILM,inactive_no_field,108,0.36,0.8343731972292436,0.06595079716986349,0.3092275342250693,0.10218928447657166,0.17230619427350535,0.0922558205793479,0.15839436367474924
E3,PRESSURE,environmental_weak,109,0.36333333333333334,0.7431933561891219,0.05463183032866176,0.31899270127718665,0.1319069222053094,0.22366173954535135,0.05038337889991588,0.018248614261358622
E3,PARTICLE_MOTION,environmental_primary,113,0.37666666666666665,0.7010418917570642,0.06640256054683655,0.09528333849106843,0.18000467941057446,0.1932880936712703,0.11997251872574811,0.11249326145840273
E3,CCA_LEFT_RIGHT,inactive_no_field,111,0.37,0.6916017467414965,0.06345419291240359,0.1735671058956342,0.17767847150876007,0.06474564653632264,0.19773643694413284,0.07787408585664696
E3,CCA,inactive_no_field,132,0.44,0.690715623139105,0.0401116381405735,0.03314833529610873,0.11882956184619253,0.3281514653914275,0.07041127040846806,0.1401749901969082
E3,OSCILLATION,internal,156,0.52,0.6872354306213945,0.06259149807865265,0.08053818693289146,0.21396365329844466,0.17689965817793396,0.07790179417645944,0.13793213803566487
E3,PARTICLE_MOTION_UP_DOWN,environmental_primary,172,0.5733333333333334,0.6818849722744903,0.044591559803843765,0.2741472090411039,0.14079340759290324,0.18370395745441445,0.05103881829624438,0.0322015798898243
E3,LIGHT_INTENSITY,inactive_no_field,174,0.58,0.6666166291857251,0.04720046121142917,0.038156990714880594,0.06047323818652706,0.28324534728764245,0.1936479417903325,0.0910931112063424
E3,ENERGY,internal,105,0.35,0.6599372594271623,0.06557844419260078,0.15985195812295783,0.0,0.12572455197678517,0.3541640820768801,0.02019666725053919
E3,CCA_FORWARD_BACK,inactive_no_field,142,0.47333333333333333,0.6480342813940327,0.06327771530863954,0.06909130480904856,0.08776466726902821,0.24284033840957245,0.19393065083794725,0.05440732006843627
E3,TEMPERATURE,environmental_weak,140,0.4666666666666667,0.6147138185295895,0.04119503284949416,0.0021770773650738573,0.0544291529421729,0.2565945513725652,0.10355647867634853,0.1979565581734291
E3,AGE,internal,122,0.4066666666666667,0.5891439867126312,0.0519813773775022,0.05227146743420106,0.2372617276791091,0.11276908063494324,0.10676249926636192,0.08007921169801596
E3,LIGHT_WAVELENGTH,inactive_no_field,165,0.55,0.5454489102339873,0.032052146348052514,0.1736661289154421,0.07585193680142255,0.07147348982331084,0.04109654032162036,0.18336081437219148
E3,PARTICLE_MOTION_FORWARD_BACK,environmental_primary,134,0.44666666666666666,0.4098895005386284,0.030190526963371028,0.008564212823649981,0.08182251140291899,0.13677660329629276,0.13135028348701144,0.05137588952875521
